Petrobras PN;;;;;;;;;;Economatica
;;;;;;;;;;
;;;;;;;;;;
Data;"Fechamento
ajust p/ prov
USD>C100
AGG";"Fechamento
ajust p/ prov
CZRE>C100
IPCA+7%";"Fechamento
ajust p/ prov
CZRE>C100
CDI Acumulado";"Fechamento
ajust p/ prov
CZRE>C100
IBXX";"Fechamento
ajust p/ prov
CZRE>C100
IDA DI";"Fechamento
ajust p/ prov
CZRE>C100
IMA-B 5";"Fechamento
ajust p/ prov
CZRE>C100
IMA-B";"Fechamento
ajust p/ prov
CZRE>C100
IFIX";"Fechamento
ajust p/ prov
CZRE>C100
IRF-M";"Fechamento
ajust p/ prov
USD>C100
S&P 500"
Jan-2021;192,9951912;685,2850058;502,1175101;674,7825967;324,7624231;720,3859171;840,6179566;287,945;680,6408218;316,4233017
Fev-2021;190,0652126;694,5268415;502,7930163;651,4823204;326,4168501;716,0877016;827,8675395;288,653;672,6169649;324,6792524
Mar-2021;187,8859501;705,3280581;503,8040725;690,8038674;328,4757719;718,5443824;824,0510604;284,677;666,9465528;338,4581963
Abr-2021;189,2616521;711,3239587;504,8509498;710,3957182;330,3054612;724,8268915;829,4162694;286,115;672,5546778;356,2019731
Mai-2021;189,6466986;721,2832587;506,2156698;752,4653315;331,7639762;729,8286571;838,1918302;281,646;673,8947733;358,1562761
Jun-2021;191,2166247;729,2059151;507,773675;757,2157459;333,5755998;728,877915;841,7150185;275,489;675,3387907;366,1123511
Jul-2021;193,3508757;740,3689092;509,5794022;726,9747238;335,7681308;729,0859152;838,5722384;282,412;672,1376246;374,4407149
Ago-2021;192,9628933;751,234361;511,7601247;703,3154696;338,2133296;730,1885741;829,435068;274,984;668,1282417;385,2958716
Set-2021;191,1936403;764,24554;514,0220617;654,1486188;340,678129;737,502296;828,3314643;271,567;665,927493;366,9676782
Out-2021;191,1764488;777,964878;516,5201496;609,5832873;343,0053585;728,3896718;807,2571923;267,568;648,4290354;392,3412448
Nov-2021;191,6934582;789,5840373;519,5508531;599,2791437;345,2233435;746,6049957;835,2406818;257,84;660,0317412;389,0715783
Dez-2021;191,0046841;799,8450141;523,5466615;618,0878453;348,0841484;752,478453;837,1180716;280,479;672,4778507;406,0401084
Jan-2022;187,1872693;808,7110383;527,3804657;660,5283149;351,076883;753,3262006;830,972874;277,692;671,9380929;384,6884531
Fev-2022;185,0435442;821,0567685;531,3623645;670,1678177;354,3691236;761,3307088;835,4977695;274,115;675,8642681;372,6244228
Mar-2022;179,8391601;839,3007798;536,2883671;710,0935083;358,3396678;781,1831393;861,1552948;277,997;681,5718612;385,9544053
Abr-2022;172,9944652;852,5352877;540,7627543;638,2864641;362,0049747;793,3385432;868,3119639;281,306;680,7363917;352,0071221
Mai-2022;174,3107361;861,6165193;546,3574713;658,9149171;366,4656282;799,5416256;876,6906485;282,045;684,6951694;352,0258643
Jun-2022;171,6038591;872,2936953;551,9047635;582,7208564;370,6871976;802,2141886;873,501714;279,562;687,2150902;322,4838561
Jul-2022;175,9586956;871,2606355;557,6161645;608,3559392;374,8892383;802,3018548;865,8386176;281,41;695,0940371;351,8674073
Ago-2022;170,6063274;873,5015183;564,1367244;645,7683702;379,8704388;802,3060999;875,405494;297,623;709,3731834;336,9341126
Set-2022;163,5354364;875,8929456;570,1841741;645,4553867;384,8129174;805,6969941;888,3529185;299,08;719,2727552;305,4659147
Out-2022;161,4439949;885,8045008;576,0039106;681,4196133;389,4304163;821,1259012;899,3022084;299,145;725,940682;329,8614779
Nov-2022;167,5926184;894,2251813;581,883048;660,2444751;393,8593492;818,3911022;892,1719015;286,721;721,1714661;347,5924759
Dez-2022;166,1338255;904,8568045;588,4194291;642,9128453;398,7749255;826,0871447;890,4360133;286,713;731,8220167;327,0944438
Jan-2023;171,666481;915,0414967;595,0292365;665,4853591;397,8192001;837,6225998;890,4284763;282,114;737,947769;347,2934522
Fev-2023;167,0909818;927,1979609;600,492449;615,0008287;396,6061063;849,410543;901,841056;280,839;744,3101392;338,2247704
Mar-2023;171,5038283;939,5651862;607,5462766;596,1425414;399,6230926;862,3002058;925,8630738;276,096;760,2801211;350,0800804
Abr-2023;172,4904475;949,8759825;613,1244118;607,6577348;402,8928015;870,0801761;944,5685676;285,823;768,6380346;355,2060793
Mai-2023;170,5171504;957,7008825;620,0117353;629,4937845;409,0773537;875,0588142;968,4765082;301,346;785,5404059;356,0878159
Jun-2023;169,8888323;962,3453698;626,6581556;685,3084254;414,5804898;884,2574577;991,6378743;315,532;802,2225213;379,1364945
Jul-2023;169,8622939;968,9479543;633,3758254;708,0646409;420,5312124;892,8734656;999,6553621;319,718;809,3328915;390,9423932
Ago-2023;168,7892425;977,1922935;640,5805152;672,6186464;428,5030809;898,3343209;995,8932051;321,281;815,4955842;384,0162887
Set-2023;164,4190356;985,0080491;646,8127857;678,2941989;434,2194052;899,5301822;986,4752928;321,928;816,8903751;365,3072873
Out-2023;161,8371173;992,9548137;653,2652079;657,7512431;439,6723245;896,7303441;980,0065741;315,57;819,9465816;357,2779472
Nov-2023;169,2693997;1001,096301;659,2490598;739,1618785;445,0979699;912,9045164;1005,724941;317,656;840,1936555;389,1397318
Dez-2023;175,5283359;1011,850999;665,146233;779,690884;449,4634997;926,2518305;1033,389342;331,143;852,638925;406,3510589
Jan-2024;175,2630538;1022,120344;671,5761712;744,5441989;455,7012446;932,53679;1028,744471;333,351;858,320647;412,8103116
Fev-2024;172,1680957;1035,874741;676,9501789;751,709116;460,9856282;938,0694572;1034,398162;336;862,2719801;434,161115
Mar-2024;173,7222697;1043,118397;682,5802159;746,2288674;466,3666436;945,2938371;1035,202925;340,815;866,9356084;447,6282565
Abr-2024;169,417432;1053,285357;688,6375887;736,2494475;471,0962461;943,3761005;1018,489525;338,179;862,3969577;429,0001874
Mai-2024;172,2455661;1064,113293;694,3700361;712,8622928;475,6143092;953,2734797;1032,02933;338,234;868,0622816;449,6013017
Jun-2024;173,7704262;1072,089337;699,8439553;723,591989;480,6843475;957,0152945;1022,042886;334,733;865,5028203;465,1888705
Jul-2024;177,9740012;1082,829355;706,1923291;744,5632597;486,6979295;965,7621382;1043,440241;336,478;877,1045373;470,4554361
Ago-2024;180,5745448;1089,026389;712,3185658;793,6696133;492,211387;971,4596603;1048,834992;339,355;882,8624417;481,1981394
Set-2024;182,9811727;1100,002711;718,2674831;770,0856354;497,1960254;975,3718042;1041,847213;330,597;885,8979488;490,9168356
Out-2024;178,372924;1113,01463;724,9326227;758,293232;501,7291007;982,5827535;1035,07135;320,484;887,7586834;486,0583394
Nov-2024;179,0824578;-;726,7075076;747,916989;502,9495812;988,3512666;1048,513435;319,585;889,4942629;510,7716686
