Petrobras PN;;;;;;;;;;Economatica
;;;;;;;;;;
;;;;;;;;;;
Data;"Fechamento
ajust p/ prov
USD>C100
AGG";"Fechamento
ajust p/ prov
CZRE>C100
IPCA+7%";"Fechamento
ajust p/ prov
CZRE>C100
CDI Acumulado";"Fechamento
ajust p/ prov
CZRE>C100
IBXX";"Fechamento
ajust p/ prov
CZRE>C100
IDA DI";"Fechamento
ajust p/ prov
CZRE>C100
IMA-B 5";"Fechamento
ajust p/ prov
CZRE>C100
IMA-B";"Fechamento
ajust p/ prov
CZRE>C100
IFIX";"Fechamento
ajust p/ prov
CZRE>C100
IRF-M";"Fechamento
ajust p/ prov
USD>C100
S&P 500"
Dez-2008;123,1749437;159,5200588;174,5489278;173,1906077;-;176,8798468;178,7203778;-;180,9768002;76,94961749
Jan-2009;120,7279942;161,1920336;176,3691043;179,2679558;100;181,7751472;186,4322789;-;184,4428311;70,35831729
Fev-2009;119,4585469;162,8637721;177,8730276;177,5690608;101,0524162;184,6502244;188,9580645;-;186,8659448;62,62374129
Mar-2009;120,7797804;164,1562643;179,5922469;190,7044199;102,3773975;187,5683126;192,0196843;-;190,2656051;67,97209112
Abr-2009;121,4008789;165,8323027;181,0929312;215,8287293;103,4023851;188,6799899;191,6352518;-;190,7797824;74,35637491
Mai-2009;122,262456;167,5087818;182,4809927;239,6270718;104,4651381;192,7468896;200,2836492;-;194,1899822;78,30331737
Jun-2009;122,7792949;169,0623425;183,8522162;230,1104972;105,488767;193,5750624;201,2186777;-;194,8922454;78,31865192
Jul-2009;124,3349897;170,472052;185,2937683;241,5607735;107,0951497;196,2314924;203,7728193;-;196,7820917;84,12533438
Ago-2009;125,8472865;171,6930801;186,5750017;246,1740332;108,0577319;197,5470228;207,2224683;-;198,3587626;86,94859519
Set-2009;127,3401224;173,0782504;187,8652324;270,3453039;109,0581311;198,8271681;209,0732339;-;199,3457051;90,0538413
Out-2009;127,6201782;174,5442196;189,1637631;271,2983425;110,1605839;199,8501299;206,725886;-;200,3999961;88,27418173
Nov-2009;129,2568041;176,156179;190,410383;294,2541437;111,0943201;201,3339787;208,8768764;-;201,7911012;93,33884241
Dez-2009;126,8191205;177,7599228;191,7887235;299,3370166;112,2464427;203,3557421;212,5887845;-;203,5485047;94,99752943
Jan-2010;128,6134408;180,0090549;193,0510907;286,7127072;113,1592615;205,8050944;215,105003;-;205,7835007;91,48506585
Fev-2010;128,8686384;182,2919736;194,1949264;289,9723757;113,9829893;208,3633173;218,878128;-;207,6448773;94,09364298
Mar-2010;128,8599818;184,3749347;195,6648555;305,0828729;115,0547237;211,3330089;223,1956018;-;210,1384801;99,6260074
Abr-2010;130,1141086;186,4242378;196,9639924;293,7845304;115,8733958;211,6956912;224,7082753;-;210,554976;101,0955683
Mai-2010;131,5225231;188,2844642;198,4414075;276,2016575;116,9050116;213,3547855;223,9358169;-;212,9950633;92,80894856
Jun-2010;133,8437291;189,3490514;200,0107388;263,1906077;117,9470711;215,3489966;226,7906717;-;215,0892257;87,80818183
Jul-2010;134,9889763;190,4387004;201,7292574;292,140884;119,1411205;218,2547127;230,3772159;-;218,5021488;93,84743828
Ago-2010;136,7208914;191,6435221;203,5171846;282,2513812;120,3713644;220,4141222;234,9833983;-;221,5478883;89,39445571
Set-2010;136,7315644;193,5943739;205,2360177;301,8232044;121,5657031;222,024726;236,2010738;-;222,6051668;97,221039
Out-2010;136,9460354;196,096496;206,8895307;306,878453;122,6827929;225,6270946;240,9124634;-;224,8192267;100,8042119
Nov-2010;135,8020965;198,7886784;208,556292;296,878453;123,7702118;226,7236793;243,0132414;-;225,0909276;100,5733417
Dez-2010;134,8846995;201,1721078;210,4899226;307,1685083;125,0546259;229,863259;248,8227614;100;227,7035834;107,1407882
Jan-2011;134,769904;203,9339726;212,3013819;296,4364641;126,2442217;231,6795149;248,0483202;100,564;227,528888;109,5670546
Fev-2011;135,1615681;206,672245;214,0898701;302,3618785;127,4448732;233,492454;249,6421477;100,048;230,4228014;112,8213866
Mar-2011;134,8665115;209,4827428;216,0570355;309,1850829;128,7760704;237,6588895;253,5327053;102,825;232,3159595;112,9500264
Abr-2011;136,9809618;212,1753631;217,869322;297,8038674;129,9633952;239,3988589;254,9241454;104,639;234,8001933;116,1685778
Mai-2011;138,6794077;214,435461;220,0159173;291,0359116;131,3853776;241,5572249;258,7268186;104,06;237,7813919;114,6001942
Jun-2011;138,0616559;215,9713826;222,1119366;286,5331492;132,7709656;243,1458359;257,9463535;105,61;239,6725996;112,5078803
Jul-2011;140,3896448;217,5400241;224,258867;272,1685083;134,2528407;246,208991;259,6844002;108,451;241,4069272;110,0918369
