Petrobras PN;;;;;;;;;;;Economatica
;;;;;;;;;;;
;;;;;;;;;;;
Data;"Fechamento
ajust p/ prov
moeda orig em 100
IPCA+7%";"Fechamento
ajust p/ prov
moeda orig em 100
RfOffshoreReal";"Fechamento
ajust p/ prov
moeda orig em 100
S&PREAL";"Fechamento
ajust p/ prov
moeda orig em 100
CDI Acumulado";"Fechamento
ajust p/ prov
moeda orig em 100
IDIV";"Fechamento
ajust p/ prov
moeda orig em 100
IDA DI";"Fechamento
ajust p/ prov
moeda orig em 100
IMA-B 5";"Fechamento
ajust p/ prov
moeda orig em 100
IMA-B 5+";"Fechamento
ajust p/ prov
moeda orig em 100
IFIX";"Fechamento
ajust p/ prov
moeda orig em 100
IRF-M";"Fechamento
ajust p/ prov
moeda orig em 100
SMLL"
Mar-2009;164,1562643;-;-;179,5922469;159,365;102,3773975;187,5683126;208,6619758;-;190,2656051;92,86789976
Abr-2009;165,8323027;-;-;181,0929312;173,828;103,4023851;188,6799899;206,1749775;-;190,7797824;123,1802912
Mai-2009;167,5087818;-;-;182,4809927;188,516;104,4651381;192,7468896;220,9193354;-;194,1899822;138,2399506
Jun-2009;169,0623425;-;-;183,8522162;183,703;105,488767;193,5750624;222,0436244;-;194,8922454;139,0122408
Jul-2009;170,472052;-;-;185,2937683;194,782;107,0951497;196,2314924;224,6581417;-;196,7820917;161,2155848
Ago-2009;171,6930801;-;-;186,5750017;200,775;108,0577319;197,5470228;230,5424992;-;198,3587626;173,9583736
Set-2009;173,0782504;-;-;187,8652324;215,621;109,0581311;198,8271681;233,1316479;-;199,3457051;186,8942349
Out-2009;174,5442196;-;-;189,1637631;214,545;110,1605839;199,8501299;226,9450461;-;200,3999961;191,7210488
Nov-2009;176,156179;-;-;190,410383;226,552;111,0943201;201,3339787;229,916087;-;201,7911012;215,8551184
Dez-2009;177,7599228;-;-;191,7887235;231,304;112,2464427;203,3557421;235,6611824;-;203,5485047;226,2810364
Jan-2010;180,0090549;-;-;193,0510907;224,388;113,1592615;205,8050944;238,4095865;-;205,7835007;217,9789165
Fev-2010;182,2919736;-;-;194,1949264;225,498;113,9829893;208,3633173;243,6762999;-;207,6448773;224,9295285
Mar-2010;184,3749347;-;-;195,6648555;240,685;115,0547237;211,3330089;249,627675;-;210,1384801;221,8403676
Abr-2010;186,4242378;-;-;196,9639924;235,776;115,8733958;211,6956912;252,3949069;-;210,554976;220,8750048
Mai-2010;188,2844642;-;-;198,4414075;224,207;116,9050116;213,3547855;248,8664045;-;212,9950633;212,95903
Jun-2010;189,3490514;-;-;200,0107388;224,086;117,9470711;215,3489966;253,2070941;-;215,0892257;219,3304244
Jul-2010;190,4387004;-;-;201,7292574;242,159;119,1411205;218,2547127;258,0211916;-;218,5021488;245,3952195
Ago-2010;191,6435221;-;-;203,5171846;235,899;120,3713644;220,4141222;266,5923125;-;221,5478883;246,1675098
Set-2010;193,5943739;-;-;205,2360177;249,871;121,5657031;222,024726;267,3156438;-;222,6051668;258,9102985
Out-2010;196,096496;100;-;206,8895307;257,777;122,6827929;225,6270946;273,7336332;-;224,8192267;275,3214658
Nov-2010;198,7886784;100,0214563;-;208,556292;252,874;123,7702118;226,7236793;277,3585481;-;225,0909276;272,61845
Dez-2010;201,1721078;96,45703914;100;210,4899226;256,74;125,0546259;229,863259;287,1642984;100;227,7035834;277,831409
Jan-2011;203,9339726;96,79140443;102,7064656;212,3013819;250,151;126,2442217;231,6795149;282,8944864;100,564;227,528888;254,6627022
Fev-2011;206,672245;96,36498359;104,9859998;214,0898701;251,883;127,4448732;233,492454;284,2984046;100,048;230,4228014;256,5934278
Mar-2011;209,4827428;94,27343427;103,0493997;216,0570355;265,54;128,7760704;237,6588895;288,0528584;102,825;232,3159595;272,61845
Abr-2011;212,1753631;92,49448989;102,3807362;217,869322;261,89;129,9633952;239,3988589;289,0786789;104,639;234,8001933;272,8115226
Mai-2011;214,435461;94,03416769;101,4221904;220,0159173;263,9;131,3853776;241,5572249;295,1262647;104,06;237,7813919;272,4253775
Jun-2011;215,9713826;92,50131557;98,38563633;222,1119366;263,7;132,7709656;243,1458359;291,8266855;105,61;239,6725996;265,0886203
Jul-2011;217,5400241;93,77185353;95,97684476;224,258867;254,2;134,2528407;246,208991;292,3249798;108,451;241,4069272;248,0982353
Ago-2011;219,6974152;97,08775269;92,32359279;226,6637858;262,7;135,8851968;255,8241931;312,45937;109,291;249,1861717;241,5337684
Set-2011;222,1105963;114,3063451;100,1252925;228,7939479;257,6;137,2900414;260,0828101;311,5902223;111,117;252,9264423;224,1572383
